Q(A^-1),I(Q),I_err(Q)
4.638902739999999948e-03,3.460603685300000052e+03,6.414791950272075383e+02
4.771445739999999672e-03,3.325685342100000071e+03,8.706776810666599431e+02
4.907775770000000030e-03,2.904605460100000073e+03,4.389019999214261247e+02
5.048001029999999757e-03,2.727038004999999885e+03,7.137996491851994278e+02
5.192232809999999983e-03,2.577774814800000058e+03,3.895647304103795818e+02
5.340585580000000408e-03,2.460293856399999640e+03,2.886820606239775771e+02
5.493177109999999690e-03,2.213328956899999866e+03,2.589511882899922171e+02
5.650128479999999738e-03,2.028547881499999903e+03,5.303986698588463469e+02
5.811564279999999715e-03,1.918247318299999961e+03,1.587200664348111161e+02
5.977612640000000248e-03,1.786912275099999988e+03,1.908523022848152948e+02
6.148405330000000432e-03,1.645815418900000168e+03,1.757166956579035002e+02
6.324077929999999750e-03,1.535037034200000107e+03,1.418876733530335912e+02
6.504769849999999728e-03,1.418084398799999917e+03,1.118228558619581037e+02
6.690624519999999707e-03,1.310564780199999859e+03,1.211392787568154006e+02
6.881789430000000152e-03,1.195645612000000028e+03,1.041590056655914367e+02
7.078416320000000157e-03,1.109748422599999913e+03,7.749678556254941952e+01
7.280661239999999812e-03,1.018574472399999991e+03,8.872476480843123170e+01
7.488684720000000385e-03,9.224727729999999610e+02,6.439700790673352060e+01
7.702651859999999628e-03,8.503005473300000858e+02,6.415288174406619248e+01
7.922732479999999855e-03,7.919543241199999102e+02,5.973908467620071860e+01
8.149101250000000476e-03,7.121072946300000694e+02,4.385989399201317696e+01
8.381937849999999968e-03,6.614135455699999966e+02,4.792302465535930622e+01
8.621427060000000711e-03,5.931501090600000907e+02,3.756957407929747461e+01
8.867758979999999444e-03,5.548015814899999896e+02,3.741859744566697543e+01
9.121129110000000817e-03,4.996916533399999594e+02,2.995015846368114154e+01
9.381738540000000154e-03,4.512447120699999914e+02,2.458991954997040708e+01
9.649794119999999253e-03,4.111840439900000206e+02,2.775605012519217141e+01
9.925508600000000625e-03,3.743469913399999882e+02,1.883221721702296847e+01
1.020910080000000074e-02,3.358407296599999654e+02,1.916156788143967304e+01
1.050079580000000054e-02,3.086845674900000063e+02,1.648582334364437330e+01
1.080082519999999921e-02,2.802437988799999857e+02,1.437529730823994711e+01
1.110942699999999984e-02,2.523393337299999928e+02,1.167421836175634375e+01
1.142684620000000012e-02,2.262033848899999953e+02,1.139477843731875772e+01
1.175333469999999964e-02,2.083155825099999845e+02,9.963203527759572964e+00
1.208915170000000004e-02,1.877947394999999915e+02,7.980996277090962820e+00
1.243456360000000024e-02,1.711525403200000142e+02,7.470940030843525648e+00
1.278984470000000054e-02,1.549997073199999988e+02,5.863312867422168395e+00
1.315527690000000034e-02,1.404837631100000124e+02,5.370591700058600537e+00
1.353115019999999967e-02,1.284347288399999911e+02,4.540743037739889409e+00
1.391776299999999966e-02,1.162705964600000073e+02,3.905305243975319751e+00
1.431542220000000046e-02,1.060434120500000006e+02,3.450904110203634190e+00
1.472444319999999945e-02,9.741785957000000451e+01,3.078068263988133157e+00
1.514515089999999946e-02,8.950031097000000102e+01,2.715666100956113382e+00
1.557787899999999934e-02,8.169500311999999553e+01,2.415242194782514229e+00
1.602297109999999830e-02,7.506497944999999561e+01,2.139883667771965481e+00
1.648078039999999883e-02,6.909581345999998803e+01,1.904172413146099307e+00
1.695167020000000122e-02,6.385982541999999285e+01,1.671504543830573342e+00
1.743601430000000022e-02,5.867785494000000313e+01,1.453055793078201541e+00
1.793419710000000028e-02,5.394911092799999608e+01,1.319163156009548254e+00
1.844661400000000007e-02,4.970197664100000168e+01,1.186066808430748409e+00
1.897367180000000125e-02,4.611571905399999594e+01,1.038903965968057452e+00
1.951578860000000026e-02,4.226430874999999787e+01,9.428874999328522577e-01
2.007339489999999949e-02,3.855297571399999867e+01,8.213710519604687788e-01
2.064693310000000059e-02,3.520204899899999873e+01,7.243572423760734624e-01
2.123685850000000055e-02,3.246699897599999929e+01,6.772846313467104640e-01
2.184363920000000070e-02,3.005297840999999792e+01,6.062749553335705643e-01
2.246775700000000139e-02,2.756528994499999996e+01,5.583711481245200448e-01
2.310970700000000017e-02,2.532120895000000260e+01,4.954461891071320068e-01
2.376999889999999865e-02,2.325831814399999686e+01,4.512818976394054604e-01
2.444915669999999860e-02,2.129389655999999675e+01,4.097331857120242726e-01
2.514771940000000081e-02,1.953393864500000277e+01,3.557672992324260042e-01
2.586624150000000136e-02,1.785416959700000206e+01,3.214014021963802481e-01
2.660529329999999915e-02,1.623357960300000258e+01,2.937892479381939981e-01
2.736546130000000118e-02,1.484256229800000071e+01,2.583198409752321956e-01
2.814734890000000073e-02,1.350390988200000031e+01,2.257560384997138736e-01
2.895157649999999944e-02,1.224873384800000053e+01,2.057718604626419256e-01
2.977878269999999911e-02,1.112164269699999863e+01,1.783848185114797202e-01
3.062962379999999846e-02,1.008080195699999848e+01,1.613837868748073112e-01
3.150477520000000142e-02,9.114883294000000191e+00,1.415320476090674295e-01
3.240493149999999767e-02,8.261566222000000792e+00,1.283994200885588688e-01
3.333080709999999836e-02,7.466721112000000105e+00,1.140675799308269456e-01
3.428313680000000252e-02,6.739683450000000242e+00,1.028375807892711047e-01
3.526267660000000081e-02,6.060829554999999758e+00,9.158070136903906366e-02
3.627020389999999900e-02,5.513699465000000188e+00,8.448248575270492222e-02
3.730651819999999952e-02,4.967046000999999933e+00,7.519316360457679871e-02
3.837244229999999673e-02,4.492797427000000177e+00,6.646709937672126700e-02
3.946882189999999929e-02,4.070168680000000094e+00,5.931844801789069865e-02
4.059652739999999871e-02,3.693884002999999971e+00,5.191738988540179484e-02
4.175645370000000134e-02,3.349000363000000036e+00,4.578009766898543526e-02
4.294952159999999852e-02,3.036805935000000289e+00,4.111485710860084825e-02
4.417667780000000127e-02,2.797903636000000027e+00,3.733754285041471915e-02
4.543889639999999785e-02,2.518899999999999917e+00,3.355832167214703454e-02
4.673717919999999942e-02,2.311914668000000006e+00,2.999735563798853338e-02
4.807255660000000347e-02,2.116809562000000255e+00,2.751466456260758670e-02
4.944608849999999889e-02,1.946273353000000039e+00,2.523927179181482613e-02
5.085886509999999749e-02,1.794787360000000165e+00,2.274851077417219120e-02
5.231200750000000038e-02,1.643667394000000170e+00,2.110531597101477155e-02
5.380666919999999714e-02,1.523164474999999962e+00,1.947027166052830646e-02
5.534403649999999897e-02,1.420213329999999941e+00,1.894217297947288145e-02
5.692532959999999781e-02,1.314224760999999964e+00,1.808334567188047901e-02
5.855180339999999789e-02,1.216550580999999909e+00,1.609983115466280534e-02
6.022474900000000103e-02,1.137223831000000018e+00,1.479531248495665786e-02
6.194549399999999678e-02,1.069551729999999923e+00,1.380688504257232899e-02
6.371540430000000033e-02,9.990669480000000657e-01,1.272424591412193821e-02
6.553588450000000232e-02,9.483807400000000554e-01,1.194514404448330201e-02
6.740837959999999851e-02,8.859542410000000867e-01,1.121241802537826203e-02
6.933437580000000044e-02,8.414717750000000329e-01,1.092133261562306702e-02
7.131540159999999462e-02,8.008976140000000354e-01,1.054145267113924291e-02
7.335302940000000549e-02,7.610039699999999740e-01,9.869606457078934983e-03
7.544887640000000339e-02,7.185887710000000705e-01,9.129900226036571226e-03
7.760460610000000092e-02,6.835141249999998614e-01,8.597657606388012588e-03
7.982192949999999954e-02,6.454848020000001352e-01,8.115381650659971718e-03
8.210260630000000559e-02,6.133958229999999512e-01,7.674510289202047565e-03
8.444844679999999326e-02,5.725130619999998505e-01,7.277384211656066394e-03
8.686131269999999849e-02,5.342741699999999927e-01,6.810047815934226929e-03
8.934311920000000129e-02,5.032533839999999703e-01,6.419248462180155920e-03
9.189583599999999464e-02,4.744806599999999985e-01,6.094400643490571409e-03
9.452148920000000287e-02,4.497781329999999689e-01,5.805037027024342704e-03
9.722216270000000327e-02,4.155422370000000365e-01,5.484746252175266325e-03
1.000000000000000056e-01,3.895624130000000518e-01,5.681530526334090635e-03
1.019999999999999934e-01,3.717339519999999786e-01,6.014402922006804528e-03
1.039999999999999952e-01,3.622667400000000315e-01,6.034639622949974219e-03
1.059999999999999970e-01,3.436471710000000290e-01,5.933874867683983263e-03
1.079999999999999988e-01,3.284063700000000030e-01,5.814729856141392407e-03
1.100000000000000006e-01,3.135908350000000122e-01,5.636472812893009859e-03
1.120000000000000023e-01,3.017941499999999833e-01,5.762149339264457069e-03
1.140000000000000041e-01,2.844578900000000465e-01,5.796825620391181377e-03
1.160000000000000059e-01,2.772813920000000154e-01,5.792023899890545204e-03
1.179999999999999938e-01,2.600408889999999973e-01,5.741998256509889612e-03
1.199999999999999956e-01,2.492761310000000119e-01,5.736447072484628096e-03
1.219999999999999973e-01,2.369133550000000477e-01,5.684822126817589381e-03
1.239999999999999991e-01,2.328896039999999723e-01,5.358331644962631944e-03
1.260000000000000009e-01,2.189742559999999783e-01,5.137142234393735248e-03
1.280000000000000027e-01,2.140947310000000381e-01,5.044807776599409890e-03
1.300000000000000044e-01,2.015058490000000146e-01,4.883403346286939797e-03
1.320000000000000062e-01,1.923908449999999770e-01,4.783277893529786461e-03
1.340000000000000080e-01,1.883462759999999792e-01,4.695087835905092238e-03
1.360000000000000098e-01,1.813714559999999865e-01,4.571538968641910596e-03
1.380000000000000115e-01,1.713131979999999444e-01,4.507571859968844546e-03
1.400000000000000133e-01,1.646587689999999826e-01,4.573073942828837987e-03
1.419999999999999873e-01,1.595749669999999565e-01,4.779280619885134009e-03
1.439999999999999891e-01,1.571367949999999403e-01,4.798324641834855742e-03
1.459999999999999909e-01,1.430422049999999778e-01,4.645564089597156547e-03
1.479999999999999927e-01,1.418001389999999917e-01,4.385568193741389530e-03
1.499999999999999944e-01,1.377952090000000296e-01,4.303902414493329491e-03
1.519999999999999962e-01,1.315390220000000054e-01,4.142721062298390655e-03
1.539999999999999980e-01,1.305418760000000011e-01,4.126908876411828839e-03
1.559999999999999998e-01,1.245941349999999948e-01,4.038990167263467081e-03
1.580000000000000016e-01,1.177033480000000409e-01,3.999646039791348098e-03
1.600000000000000033e-01,1.137899929999999782e-01,3.919870106877417285e-03
1.620000000000000051e-01,1.116040229999999411e-01,3.920623821040704858e-03
1.640000000000000069e-01,1.075630940000000257e-01,3.856547068105477954e-03
1.660000000000000087e-01,1.054293519999999762e-01,3.813265716267415315e-03
1.680000000000000104e-01,1.009134169999999497e-01,3.751542631804212317e-03
1.700000000000000122e-01,9.885150599999997789e-02,3.708086738576361289e-03
1.719999999999999862e-01,9.355077399999994769e-02,3.677383850066124910e-03
1.739999999999999880e-01,9.178505300000000533e-02,3.625454423888869061e-03
1.759999999999999898e-01,9.168936199999999648e-02,3.610289598247744779e-03
1.779999999999999916e-01,8.173626999999999976e-02,3.798563310847377378e-03
1.799999999999999933e-01,8.283975599999998662e-02,3.741770517596275467e-03
1.819999999999999951e-01,7.672125299999998926e-02,3.591548164806321764e-03
1.839999999999999969e-01,7.659194099999999672e-02,3.501505059556220874e-03
1.859999999999999987e-01,7.451203600000000371e-02,3.451757966551477486e-03
1.880000000000000004e-01,7.311508399999999686e-02,3.416013955032044629e-03
1.900000000000000022e-01,7.136033899999999486e-02,3.384025875991626166e-03
1.920000000000000040e-01,6.789642800000000866e-02,3.362734940474738487e-03
1.940000000000000058e-01,6.251644600000000329e-02,3.329119285814709749e-03
1.960000000000000075e-01,6.213719499999997842e-02,3.310707766476048402e-03
1.980000000000000093e-01,6.168927899999998576e-02,3.265523199611440434e-03
2.000000000000000111e-01,5.701590300000003442e-02,3.245573395696694022e-03
2.020000000000000129e-01,5.805699799999997079e-02,3.207115960188077451e-03
2.039999999999999869e-01,6.029158499999998089e-02,3.181212590309199194e-03
2.059999999999999887e-01,5.555071000000000314e-02,3.149890873114520162e-03
