Q(A^-1),I(Q),I_err(Q)
8.149101250000000476e-03,1.722839440000000444e+00,7.396750397236934171e-01
8.381937849999999968e-03,1.577228269999999100e+00,8.142282981007007425e-01
8.621427060000000711e-03,1.675924769999999953e+00,6.546784660520195143e-01
8.867758979999999444e-03,1.738930419999999977e+00,6.568611873254867062e-01
9.121129110000000817e-03,1.766966430000000088e+00,5.399908692570911661e-01
9.381738540000000154e-03,1.849342289999999167e+00,4.593383914531279366e-01
9.649794119999999253e-03,1.707226689999999714e+00,5.316821351226825865e-01
9.925508600000000625e-03,1.741203549999999822e+00,3.672284663094031454e-01
1.020910080000000074e-02,1.660488340000000118e+00,3.933027459383968694e-01
1.050079580000000054e-02,1.680127810000000110e+00,3.461439712714519112e-01
1.080082519999999921e-02,1.626591809999999860e+00,3.098091451753660075e-01
1.110942699999999984e-02,1.638489879999999843e+00,2.645157751628524068e-01
1.142684620000000012e-02,1.616572880000000101e+00,2.704618099872280190e-01
1.175333469999999964e-02,1.650584070000000292e+00,2.440316322900714929e-01
1.208915170000000004e-02,1.590570030000000301e+00,2.038740431492556959e-01
1.243456360000000024e-02,1.734934500000000046e+00,2.015547593655190317e-01
1.278984470000000054e-02,1.682341200000000203e+00,1.651630781411913274e-01
1.315527690000000034e-02,1.723174470000000014e+00,1.594487429269921264e-01
1.353115019999999967e-02,1.691540259999999796e+00,1.419126974648957651e-01
1.391776299999999966e-02,1.704797060000000197e+00,1.272774948789593963e-01
1.431542220000000046e-02,1.658603920000000009e+00,1.197041749458502558e-01
1.472444319999999945e-02,1.664482819999999919e+00,1.112232159156887196e-01
1.514515089999999946e-02,1.667570160000000135e+00,1.032582864631537284e-01
1.557787899999999934e-02,1.642110069999999977e+00,9.757638838857952968e-02
1.602297109999999830e-02,1.636285549999999978e+00,9.044542259380899951e-02
1.648078039999999883e-02,1.676975829999999945e+00,8.503431685971671317e-02
1.695167020000000122e-02,1.702002970000000115e+00,7.953379785705821936e-02
1.743601430000000022e-02,1.637622930000000254e+00,7.147661930887545811e-02
1.793419710000000028e-02,1.687306811000000017e+00,7.010773556790311778e-02
1.844661400000000007e-02,1.638010418000000357e+00,6.584603559279725293e-02
1.897367180000000125e-02,1.655338382000000053e+00,6.115656579322290010e-02
1.951578860000000026e-02,1.658590636999999868e+00,5.936492085040987604e-02
2.007339489999999949e-02,1.594077473000000023e+00,5.397408635787997316e-02
2.064693310000000059e-02,1.607934645999999912e+00,5.111093547975946449e-02
2.123685850000000055e-02,1.593282658000000129e+00,5.108084539083781322e-02
2.184363920000000070e-02,1.598333138999999736e+00,4.914491536096617097e-02
2.246775700000000139e-02,1.598342462000000186e+00,4.862356181520160331e-02
2.310970700000000017e-02,1.582302613000000191e+00,4.621467534979161601e-02
2.376999889999999865e-02,1.580377168000000054e+00,4.494076508707799816e-02
2.444915669999999860e-02,1.568752812000000052e+00,4.380158713901789042e-02
2.514771940000000081e-02,1.536627001999999909e+00,4.063198937714705000e-02
2.586624150000000136e-02,1.544077520000000092e+00,3.999314851020766004e-02
2.660529329999999915e-02,1.536956066999999981e+00,3.962584620374407646e-02
2.736546130000000118e-02,1.537489341999999981e+00,3.751830689104015959e-02
2.814734890000000073e-02,1.506098507999999780e+00,3.559598890950755462e-02
2.895157649999999944e-02,1.519085119999999955e+00,3.542144477831788568e-02
2.977878269999999911e-02,1.479729204999999936e+00,3.299403298485922148e-02
3.062962379999999846e-02,1.481941663999999825e+00,3.270174265745003778e-02
3.150477520000000142e-02,1.448305839000000095e+00,3.098627947114357753e-02
3.240493149999999767e-02,1.432840495999999852e+00,3.041781954255410453e-02
3.333080709999999836e-02,1.423072356000000038e+00,2.956478159726368821e-02
3.428313680000000252e-02,1.412354588000000133e+00,2.903163040994429303e-02
3.526267660000000081e-02,1.384165159999999783e+00,2.797275881463812119e-02
3.627020389999999900e-02,1.385374878000000143e+00,2.815798991946068253e-02
3.730651819999999952e-02,1.357328942999999954e+00,2.701885041596478049e-02
3.837244229999999673e-02,1.344888765999999958e+00,2.589929250513351572e-02
3.946882189999999929e-02,1.322742746000000080e+00,2.485356965637778442e-02
4.059652739999999871e-02,1.289426248000000053e+00,2.325648921051366724e-02
4.175645370000000134e-02,1.285710238000000061e+00,2.221510227346859198e-02
