Q(A^-1),I(Q),I_err(Q)
6.720000000000000417e-01,3.184502999999999640e-02,2.529106803134814879e-03
6.760000000000000453e-01,3.391909600000003744e-02,2.535067231386524313e-03
6.800000000000000488e-01,3.126399899999998677e-02,2.498211788418006410e-03
6.840000000000000524e-01,3.063986700000004282e-02,2.511294557918291280e-03
6.879999999999999449e-01,3.210866099999998280e-02,2.491204682919375465e-03
6.919999999999999485e-01,2.993444200000000555e-02,2.488836999675076139e-03
6.959999999999999520e-01,2.718048699999997542e-02,2.473489391282824006e-03
6.999999999999999556e-01,2.942667700000001219e-02,2.477415592752942822e-03
7.039999999999999591e-01,2.784550299999999368e-02,2.473837590969390609e-03
7.079999999999999627e-01,2.790999999999999037e-02,2.479607812425535258e-03
7.119999999999999662e-01,2.727838499999996058e-02,2.478488086719860071e-03
7.159999999999999698e-01,2.560015799999998398e-02,2.459280110856418983e-03
7.199999999999999734e-01,2.856907600000002656e-02,2.593570636738945761e-03
7.239999999999999769e-01,2.744979100000000116e-02,2.792646895644783789e-03
7.279999999999999805e-01,3.141674799999999435e-02,2.926433547685531461e-03
7.319999999999999840e-01,2.587943100000000829e-02,2.816390037786262179e-03
7.359999999999999876e-01,2.808779000000000137e-02,2.650736823372650767e-03
7.399999999999999911e-01,2.547861099999998435e-02,2.577441458992311800e-03
7.439999999999999947e-01,2.576681899999999636e-02,2.553492061813284614e-03
7.479999999999999982e-01,2.469088399999996852e-02,2.550101870109441459e-03
7.520000000000000018e-01,2.248158699999996957e-02,2.529311572520768006e-03
7.560000000000000053e-01,2.395421999999997054e-02,2.528712329827955112e-03
7.600000000000000089e-01,2.268789700000001242e-02,2.520681746306522534e-03
7.640000000000000124e-01,2.305454800000000803e-02,2.519582102646428061e-03
7.680000000000000160e-01,2.315242800000000267e-02,2.514610852430252275e-03
7.720000000000000195e-01,2.522869199999999701e-02,2.521651224351346282e-03
7.760000000000000231e-01,2.107937599999998302e-02,2.511975149840788707e-03
7.800000000000000266e-01,2.071054599999999635e-02,2.502010769843565456e-03
7.840000000000000302e-01,2.322789600000002563e-02,2.598837133039051672e-03
7.880000000000000338e-01,2.198885999999999896e-02,2.622956430174498959e-03
7.920000000000000373e-01,2.307129000000002206e-02,2.559950835765966923e-03
7.960000000000000409e-01,2.009556900000003532e-02,2.524338184608878200e-03
8.000000000000000444e-01,2.194520499999996765e-02,2.533449462704182812e-03
8.040000000000000480e-01,2.203810699999997347e-02,2.536466328829808242e-03
8.080000000000000515e-01,1.922321299999996125e-02,2.519493502020873910e-03
8.120000000000000551e-01,1.863783899999998939e-02,2.512796091403801495e-03
8.159999999999999476e-01,1.876310100000000425e-02,2.512867530105955018e-03
8.199999999999999512e-01,1.847120106853653021e-02,1.501345898245027080e-02
8.199999999999999512e-01,2.301538600000002655e-02,2.521134566397854361e-03
8.239999999999999547e-01,1.925129399999997437e-02,2.506716918195950241e-03
8.249999999999999556e-01,1.945393211878370526e-02,8.281874992496232601e-03
8.279999999999999583e-01,1.691891200000000817e-02,2.500817033800923229e-03
8.299999999999999600e-01,1.955705925963626898e-02,7.108903267516392468e-03
8.319999999999999618e-01,1.866894800000001853e-02,2.511451654546338185e-03
8.349999999999999645e-01,1.987597047470522280e-02,6.666817103793343940e-03
8.359999999999999654e-01,1.788466199999999562e-02,2.481197162972236490e-03
8.399999999999999689e-01,1.893880715722169941e-02,6.210097365803598710e-03
8.399999999999999689e-01,1.890428999999999027e-02,2.586097043339652922e-03
8.439999999999999725e-01,1.690245200000001224e-02,2.832196145329267650e-03
8.449999999999999734e-01,1.878056319069856817e-02,5.905224149621184949e-03
8.479999999999999760e-01,1.559818099999998875e-02,3.035795418138940559e-03
8.499999999999999778e-01,1.881313448822585430e-02,5.515094898579955135e-03
8.519999999999999796e-01,1.659870200000002072e-02,3.228050378984876571e-03
8.549999999999999822e-01,1.725944794626985829e-02,5.321401866848330005e-03
8.559999999999999831e-01,2.162233799999996320e-02,3.507750790368860221e-03
8.599999999999999867e-01,1.951763600000000487e-02,3.776545010693604498e-03
8.599999999999999867e-01,1.648126693228593037e-02,5.095995399091087300e-03
8.649999999999999911e-01,1.608022979941639910e-02,4.991584640002354363e-03
8.699999999999999956e-01,1.627448294928598993e-02,4.878558843297221836e-03
8.750000000000000000e-01,1.699515819524156576e-02,4.693518944199634099e-03
8.800000000000000044e-01,1.591492339202113179e-02,4.616686454005662979e-03
8.850000000000000089e-01,1.615388459811863825e-02,4.541194475100123439e-03
8.900000000000000133e-01,1.582840680511640383e-02,4.460348436813595975e-03
