Q(A^-1),I(Q),I_err(Q)
5.692532959999999781e-02,1.434931461000000130e+00,1.917884921886985408e-02
5.855180339999999789e-02,1.331589520999999943e+00,1.710153274671971993e-02
6.022474900000000103e-02,1.246446130999999902e+00,1.571209969310978158e-02
6.194549399999999678e-02,1.180870819999999988e+00,1.469407150375950585e-02
6.371540430000000033e-02,1.105395947999999962e+00,1.352646678508480534e-02
6.553588450000000232e-02,1.037313810000000114e+00,1.261082847182016381e-02
6.740837959999999851e-02,9.710092310000000282e-01,1.181697018817754255e-02
6.933437580000000044e-02,9.304853749999999479e-01,1.156212577245200809e-02
7.131540159999999462e-02,8.795387639999999729e-01,1.108499622806119467e-02
7.335302940000000549e-02,8.297157900000000641e-01,1.034207084042775698e-02
7.544887640000000339e-02,7.947237709999999122e-01,9.625903037840815440e-03
7.760460610000000092e-02,7.508551949999999753e-01,9.016383732098327483e-03
7.982192949999999954e-02,7.062655220000000345e-01,8.469635484875573384e-03
8.210260630000000559e-02,6.709046330000000280e-01,8.009211027743325453e-03
8.444844679999999326e-02,6.282069619999999244e-01,7.588356104802043874e-03
8.686131269999999849e-02,5.931575950000000930e-01,7.124433902149325190e-03
8.934311920000000129e-02,5.590496169999998877e-01,6.703744112478740060e-03
9.189583599999999464e-02,5.270362549999999535e-01,6.357596256784100140e-03
9.452148920000000287e-02,4.956994779999999712e-01,6.031152890157521172e-03
9.722216270000000327e-02,4.623279209999999750e-01,5.705931903885284352e-03
1.000000000000000056e-01,4.345617870000000327e-01,5.910072880215460137e-03
1.019999999999999934e-01,4.147209669999999959e-01,6.242436667143408738e-03
1.039999999999999952e-01,4.024041090000000098e-01,6.248645325090073505e-03
1.059999999999999970e-01,3.830256460000000529e-01,6.143138922351607661e-03
1.079999999999999988e-01,3.616630740000000288e-01,6.002386245997763138e-03
1.100000000000000006e-01,3.437880130000000034e-01,5.788546349569660861e-03
1.120000000000000023e-01,3.387804639999999479e-01,5.966534006641585619e-03
1.140000000000000041e-01,3.197843560000000473e-01,5.989307306618331557e-03
1.160000000000000059e-01,3.097800940000000613e-01,5.978261646061941263e-03
1.179999999999999938e-01,2.962994629999999852e-01,5.939420612002221413e-03
1.199999999999999956e-01,2.821967599999999354e-01,5.921113139455378219e-03
1.219999999999999973e-01,2.713919389999999709e-01,5.867011680806068739e-03
1.239999999999999991e-01,2.613139469999999354e-01,5.502723053422925968e-03
1.260000000000000009e-01,2.499357380000000184e-01,5.291057806645653970e-03
1.280000000000000027e-01,2.351695970000000080e-01,5.151386202337186922e-03
1.300000000000000044e-01,2.290698060000000424e-01,5.019145239246077840e-03
1.320000000000000062e-01,2.190578900000000329e-01,4.903751615383016710e-03
1.340000000000000080e-01,2.117207110000000059e-01,4.805445819978624265e-03
1.360000000000000098e-01,2.083016699999999388e-01,4.697939792489105523e-03
1.380000000000000115e-01,1.942219839999999587e-01,4.610519672318809555e-03
1.400000000000000133e-01,1.900534369999999917e-01,4.687700496983388844e-03
1.419999999999999873e-01,1.799198639999999294e-01,4.890983479185511372e-03
1.439999999999999891e-01,1.770634929999999607e-01,4.900195616713548703e-03
1.459999999999999909e-01,1.684522720000000140e-01,4.764267875255944959e-03
1.479999999999999927e-01,1.602223950000000174e-01,4.471107837302241636e-03
1.499999999999999944e-01,1.565309450000000324e-01,4.389365147730005419e-03
1.519999999999999962e-01,1.560504979999999264e-01,4.251280524147356236e-03
1.539999999999999980e-01,1.501391779999999843e-01,4.207280614097897407e-03
1.559999999999999998e-01,1.445945460000000460e-01,4.122577969259922856e-03
1.580000000000000016e-01,1.387290709999999816e-01,4.087536049283428154e-03
1.600000000000000033e-01,1.351831290000000130e-01,4.005862729190436990e-03
1.620000000000000051e-01,1.286735329999999511e-01,3.988314627777180682e-03
1.640000000000000069e-01,1.242917080000000563e-01,3.922365210874887570e-03
1.660000000000000087e-01,1.215259860000000303e-01,3.881800300540456158e-03
1.680000000000000104e-01,1.194492970000000098e-01,3.825396279643532727e-03
1.700000000000000122e-01,1.146115820000000451e-01,3.770027013946422589e-03
1.719999999999999862e-01,1.112789550000000127e-01,3.748359793752775899e-03
1.739999999999999880e-01,1.098458529999999933e-01,3.698582372083571591e-03
1.759999999999999898e-01,1.057654569999999516e-01,3.670271031135042585e-03
1.779999999999999916e-01,9.868322800000001171e-02,3.866214188707592283e-03
1.799999999999999933e-01,9.629452899999996207e-02,3.797219838889864373e-03
1.819999999999999951e-01,9.592965100000000467e-02,3.665846074541415089e-03
1.839999999999999969e-01,9.099516599999996069e-02,3.559567691358837827e-03
1.859999999999999987e-01,8.741790500000001796e-02,3.499514544636913704e-03
1.880000000000000004e-01,8.944089399999999301e-02,3.474204449177744746e-03
1.900000000000000022e-01,8.669463199999999370e-02,3.442774542120627477e-03
1.920000000000000040e-01,8.261417700000001085e-02,3.418535421856016155e-03
1.940000000000000058e-01,8.204680800000002661e-02,3.400018110383263605e-03
1.960000000000000075e-01,7.617634499999997866e-02,3.360243409191917500e-03
1.980000000000000093e-01,7.719147699999995282e-02,3.326122144428806521e-03
2.000000000000000111e-01,7.266789100000003998e-02,3.304665842738763355e-03
2.020000000000000129e-01,7.253124399999999472e-02,3.261600626304330362e-03
2.039999999999999869e-01,7.313746100000001471e-02,3.228074681730069145e-03
2.059999999999999887e-01,6.940502399999998184e-02,3.197470299748072283e-03
2.079999999999999905e-01,6.876653999999998712e-02,3.172394226231280492e-03
2.099999999999999922e-01,6.490950899999997636e-02,3.146223840606130352e-03
2.119999999999999940e-01,6.622693499999998679e-02,3.112057058523956185e-03
2.139999999999999958e-01,6.267079700000000031e-02,3.170719565942357876e-03
2.159999999999999976e-01,6.212993599999999672e-02,3.164915554431385267e-03
2.179999999999999993e-01,5.833859499999999310e-02,3.107821951119091666e-03
